Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
174823902,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-4.java#L710,https://semgrep.dev/orgs/lucamorelli/findings/174823902,2025-04-21 22:28:47.667174,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
174823901,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-1.java#L575,https://semgrep.dev/orgs/lucamorelli/findings/174823901,2025-04-21 22:28:47.667130,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Use of AES with ECB mode detected. ECB doesn't provide message confidentiality and  is not semantically secure so should not be used. Instead, use a strong, secure cipher: Cipher.getInstance(""AES/CBC/PKCS7PADDING""). See https://owasp.org/www-community/Using_the_Java_Cryptographic_Extensions for more information."
173864071,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-3.java#L656,https://semgrep.dev/orgs/lucamorelli/findings/173864071,2025-04-18 22:28:49.114086,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
173137014,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-6.java#L652,https://semgrep.dev/orgs/lucamorelli/findings/173137014,2025-04-17 22:27:50.129532,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
173137013,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-8.java#L419,https://semgrep.dev/orgs/lucamorelli/findings/173137013,2025-04-17 22:27:50.129507,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
172392605,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-7.java#L405,https://semgrep.dev/orgs/lucamorelli/findings/172392605,2025-04-16 22:27:40.022462,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
172392601,java.lang.security.audit.crypto.use-of-aes-ecb.use-of-aes-ecb,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-4.java#L684,https://semgrep.dev/orgs/lucamorelli/findings/172392601,2025-04-16 22:27:40.022302,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Use of AES with ECB mode detected. ECB doesn't provide message confidentiality and  is not semantically secure so should not be used. Instead, use a strong, secure cipher: Cipher.getInstance(""AES/CBC/PKCS7PADDING""). See https://owasp.org/www-community/Using_the_Java_Cryptographic_Extensions for more information."
171621728,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_40380-1.java#L991,https://semgrep.dev/orgs/lucamorelli/findings/171621728,2025-04-15 22:28:14.198468,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
171621727,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_40380-1.java#L1025,https://semgrep.dev/orgs/lucamorelli/findings/171621727,2025-04-15 22:28:14.198442,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
171621726,java.lang.security.audit.crypto.ecb-cipher.ecb-cipher,Code,Medium,Open,High,security,False,,,,LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs,https://github.com/LucoMoro/Scraped_CRs/blob/b0f8574362e0a964c7b2c70bf09f6f87d90c4659/after_crs/after_CR_43713-1.java#L238,https://semgrep.dev/orgs/lucamorelli/findings/171621726,2025-04-15 22:28:14.198415,2025-04-27 10:39:26.717385,refs/heads/main,,,,"Cipher in ECB mode is detected. ECB mode produces the same output for the same input each time which allows an attacker to intercept and replay the data. Further, ECB mode does not provide any integrity checking. See https://find-sec-bugs.github.io/bugs.htm#CIPHER_INTEGRITY."
